[0827/175052.216:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.217:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.218:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.218:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.218:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.219:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.705:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.706:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.707:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.707:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.708:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.708:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.709:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.710:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.892:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.893:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.893:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.894:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.894:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.895:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.895:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175052.896:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175054.603:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175054.604:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175054.605:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175054.605:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175054.606:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175054.606:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175054.607:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175054.608:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175100.710:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175100.711:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175100.711:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175100.712:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175100.712:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175100.713:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175100.713:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175100.714:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.119:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.119:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.119:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.119:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.119:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.119:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.119:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.119:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.787:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.788:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.788:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.788:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.788:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.788:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.788:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/175107.788:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
